Date,port_ret,turnover,mkt_ret,vol_scale,cost,slippage,strat_ret,equity,mkt_equity,cum_strat,cum_mkt,drawdown
2010-09-27,0.004876805528870276,0.4,0.0035158057598363435,1.0,0.0002,8e-05,0.004596805528870276,100459.68055288703,100351.58057598364,1.0045968055288703,1.0035158057598363,0.0
2010-09-28,-0.004136966804926734,0.4,-0.001801804829093534,1.0,0.0002,8e-05,-0.004416966804926734,100015.95347865138,100170.76661349466,1.0001595347865138,1.0017076661349467,-0.004416966804926718
2010-09-29,0.003079194953916054,0.4,-0.0029181745151294347,1.0,0.0002,8e-05,0.002799194953916054,100295.91763093992,99878.4508352022,1.0029591763093992,0.9987845083520219,-0.0016301358022027363
2010-09-30,0.005986304431360546,0.4,0.004133557411482913,1.0,0.0002,8e-05,0.005706304431360546,100868.23667016474,100291.30414589948,1.0086823667016473,1.0029130414589948,0.0
2010-10-01,-0.007606817004386002,0.4,-0.007612124746718463,1.0,0.0002,8e-05,-0.007886817004386001,100072.70734599205,99527.87422772982,1.0007270734599205,0.9952787422772982,-0.007886817004385958
2010-10-04,0.015459531932506355,0.4,0.0202865812443489,1.0,0.0002,8e-05,0.015179531932506355,101591.76420272289,101546.954534328,1.015917642027229,1.01546954534328,0.0
2010-10-05,1.8968557909881988e-05,0.4,-9.886741713327485e-05,1.0,0.0002,8e-05,-0.00026103144209011804,101565.24555800857,101536.91484921545,1.0156524555800857,1.0153691484921545,-0.0002610314420901603
2010-10-06,0.004248047400960697,0.4,-0.0010882529517106665,1.0,0.0002,8e-05,0.0039680474009606975,101968.26126667295,101426.41700192321,1.0196826126667295,1.014264170019232,0.0
2010-10-07,0.007322367847850297,0.4,0.00544711712106527,1.0,0.0002,8e-05,0.007042367847850297,102686.35927131858,101978.89857450269,1.0268635927131857,1.0197889857450269,0.0
2010-10-08,0.0021155830763474387,0.4,0.0008865639308637263,1.0,0.0002,8e-05,0.0018355830763474386,102874.84861456875,102069.30938768806,1.0287484861456875,1.0206930938768806,0.0
2010-10-11,0.0012212889663023585,0.4,0.0032477298402955324,1.0,0.0002,8e-05,0.0009412889663023584,102971.68357447966,102400.80292956482,1.0297168357447966,1.0240080292956482,0.0
