Date,ticker,pos,side,asset_return,turnover,market_future_return
2010-09-27,AEE,0.1,1,0.00043479867777356245,0.1,0.0035158057598363435
2010-09-27,ADSK,0.1,1,0.0017301013564674284,0.1,0.0035158057598363435
2010-09-27,AMGN,0.1,1,0.0005562167147660002,0.1,0.0035158057598363435
2010-09-27,AN,0.1,1,-4.304876917303746e-05,0.1,0.0035158057598363435
2010-09-27,ANTM,0.1,1,0.0006254213055506775,0.1,0.0035158057598363435
2010-09-27,AES,0.1,1,0.0008030038316612754,0.1,0.0035158057598363435
2010-09-27,AABA,0.1,1,0.0007703124118243698,0.1,0.0035158057598363435
2010-09-28,ADSK,0.1,1,-0.0012368571943196629,0.1,-0.001801804829093534
2010-09-28,AMGN,0.1,1,-0.0018900632481524738,0.1,-0.001801804829093534
2010-09-28,AN,0.1,1,-0.0006029258991748555,0.1,-0.001801804829093534
2010-09-28,AMAT,0.1,1,-0.00044348156998829107,0.1,-0.001801804829093534
2010-09-28,A,0.1,1,0.0007421010384521588,0.1,-0.001801804829093534
2010-09-28,ABT,0.1,1,0.00020750118259214024,0.1,-0.001801804829093534
2010-09-28,ADBE,0.1,1,-0.00091324111433575,0.1,-0.001801804829093534
2010-09-29,AN,0.1,1,0.0007365687905368512,0.1,-0.0029181745151294347
2010-09-29,ADSK,0.1,1,9.392228802529434e-05,0.1,-0.0029181745151294347
2010-09-29,AGN,0.1,1,-0.0008863362801538211,0.1,-0.0029181745151294347
2010-09-29,AMGN,0.1,1,0.0003099803531231738,0.1,-0.0029181745151294347
2010-09-29,ABC,0.1,1,-0.0003145979675677091,0.1,-0.0029181745151294347
2010-09-29,AIG,0.1,1,0.004400450418932201,0.1,-0.0029181745151294347
2010-09-29,AAPL,0.1,1,-0.001260792648979936,0.1,-0.0029181745151294347
2010-09-30,ABT,0.1,1,0.0006525372434880828,0.1,0.004133557411482913
2010-09-30,ALL,0.1,1,7.70073637504698e-05,0.1,0.004133557411482913
2010-09-30,AGN,0.1,1,0.002501558755200928,0.1,0.004133557411482913
2010-09-30,AMGN,0.1,1,0.0007259048691269144,0.1,0.004133557411482913
2010-09-30,ANTM,0.1,1,-0.0009345251133472177,0.1,0.004133557411482913
2010-09-30,ABX,0.1,1,0.0015626536405309423,0.1,0.004133557411482913
2010-09-30,AEE,0.1,1,0.0014011676726104262,0.1,0.004133557411482913
2010-10-01,ABX,0.1,1,-0.002194022736751322,0.1,-0.007612124746718463
2010-10-01,ADP,0.1,1,-0.0001651511953696394,0.1,-0.007612124746718463
2010-10-01,AEE,0.1,1,-0.00044978263071011605,0.1,-0.007612124746718463
2010-10-01,AGN,0.1,1,-0.0005281185146687851,0.1,-0.007612124746718463
2010-10-01,AMD,0.1,1,-0.001560285539551709,0.1,-0.007612124746718463
2010-10-01,ADI,0.1,1,-0.0011410749156832935,0.1,-0.007612124746718463
2010-10-01,ADSK,0.1,1,-0.001568381471651137,0.1,-0.007612124746718463
2010-10-04,AAPL,0.1,1,0.0036934200029097976,0.1,0.0202865812443489
2010-10-04,ANTM,0.1,1,0.0006757486172649819,0.1,0.0202865812443489
2010-10-04,A,0.1,1,0.0013818761741564824,0.1,0.0202865812443489
2010-10-04,AA,0.1,1,0.0018686711864890127,0.1,0.0202865812443489
2010-10-04,ADP,0.1,1,0.000979597266024368,0.1,0.0202865812443489
2010-10-04,ADSK,0.1,1,0.004238368257730585,0.1,0.0202865812443489
2010-10-04,AGN,0.1,1,0.0026218504279311274,0.1,0.0202865812443489
2010-10-05,ABX,0.1,1,0.002683051130809533,0.1,-9.886741713327485e-05
2010-10-05,ADP,0.1,1,-0.0001188546963197923,0.1,-9.886741713327485e-05
2010-10-05,ANTM,0.1,1,-0.0016434505377353583,0.1,-9.886741713327485e-05
2010-10-05,SPY,0.1,1,-9.886741713327486e-06,0.1,-9.886741713327485e-05
2010-10-05,A,0.1,1,-0.001116435670490401,0.1,-9.886741713327485e-05
2010-10-05,AN,0.1,1,-0.001653240301508241,0.1,-9.886741713327485e-05
2010-10-05,AA,0.1,1,0.001877785374867469,0.1,-9.886741713327485e-05
2010-10-06,ANTM,0.1,1,0.0013193550237104114,0.1,-0.0010882529517106665
2010-10-06,ADSK,0.1,1,0.0015903307617898045,0.1,-0.0010882529517106665
2010-10-06,ABX,0.1,1,-0.0018708837666367108,0.1,-0.0010882529517106665
2010-10-06,AMD,0.1,1,0.00014576897740605776,0.1,-0.0010882529517106665
2010-10-06,A,0.1,1,0.0016278191639147012,0.1,-0.0010882529517106665
2010-10-06,AEE,0.1,1,0.0007891071821665819,0.1,-0.0010882529517106665
2010-10-06,AN,0.1,1,0.0006465500586098516,0.1,-0.0010882529517106665
2010-10-07,ADP,0.1,1,-0.0001990569747773341,0.1,0.00544711712106527
2010-10-07,AGN,0.1,1,0.001394698918871562,0.1,0.00544711712106527
2010-10-07,AMZN,0.1,1,-0.000460741793702002,0.1,0.00544711712106527
2010-10-07,AIG,0.1,1,0.0010832018804547872,0.1,0.00544711712106527
2010-10-07,AA,0.1,1,0.005656525861288619,0.1,0.00544711712106527
2010-10-07,ANTM,0.1,1,-8.980246804962677e-05,0.1,0.00544711712106527
2010-10-07,ABC,0.1,1,-6.245757623570825e-05,0.1,0.00544711712106527
2010-10-08,AA,0.1,1,0.00031208066817576266,0.1,0.0008865639308637263
2010-10-08,ABX,0.1,1,0.0002924526885111467,0.1,0.0008865639308637263
2010-10-08,AMGN,0.1,1,-0.0005087757987326969,0.1,0.0008865639308637263
2010-10-08,AN,0.1,1,-0.0014181345819267333,0.1,0.0008865639308637263
2010-10-08,ABT,0.1,1,0.0,0.1,0.0008865639308637263
2010-10-08,ADSK,0.1,1,0.0013681205886115545,0.1,0.0008865639308637263
2010-10-08,AES,0.1,1,0.0020698395117084048,0.1,0.0008865639308637263
2010-10-11,AMZN,0.1,1,0.0022544579335832316,0.1,0.0032477298402955324
2010-10-11,AN,0.1,1,-0.00034873549190761466,0.1,0.0032477298402955324
2010-10-11,AABA,0.1,1,0.00013879568338277527,0.1,0.0032477298402955324
2010-10-11,ADP,0.1,1,-9.663924120900669e-05,0.1,0.0032477298402955324
2010-10-11,ANTM,0.1,1,0.00048689996548345604,0.1,0.0032477298402955324
2010-10-11,AEE,0.1,1,-0.0009241874962857889,0.1,0.0032477298402955324
2010-10-11,AMGN,0.1,1,-0.00028930238674469423,0.1,0.0032477298402955324
2010-10-12,AN,0.1,1,0.0009186311411451209,0.1,0.00774966545622191
2010-10-12,AMZN,0.1,1,-0.0008371661518157936,0.1,0.00774966545622191
2010-10-12,AMGN,0.1,1,-0.0007989265440283,0.1,0.00774966545622191
2010-10-12,ABT,0.1,1,-0.0006139473734489642,0.1,0.00774966545622191
2010-10-12,AEE,0.1,1,-3.694909841117644e-05,0.1,0.00774966545622191
2010-10-12,AGN,0.1,1,0.0005207968567543242,0.1,0.00774966545622191
2010-10-12,AABA,0.1,1,0.005682603447555713,0.1,0.00774966545622191
2010-10-13,ABX,0.1,1,-0.0010315914242261415,0.1,-0.003893716663174951
2010-10-13,ADI,0.1,1,0.0,0.1,-0.003893716663174951
2010-10-13,ADP,0.1,1,1.913735891063695e-05,0.1,-0.003893716663174951
2010-10-13,ALL,0.1,1,-0.0008217775470873989,0.1,-0.003893716663174951
2010-10-13,AMGN,0.1,1,-0.0011390269779637753,0.1,-0.003893716663174951
2010-10-13,AN,0.1,1,0.0013003950948316857,0.1,-0.003893716663174951
2010-10-13,ANTM,0.1,1,0.00045901049419139195,0.1,-0.003893716663174951
2010-10-14,AMGN,0.1,1,0.003373126290421835,0.1,0.002052175126697975
2010-10-14,AMZN,0.1,1,0.005857391295475423,0.1,0.002052175126697975
2010-10-14,APC,0.1,1,0.0007169554887860752,0.1,0.002052175126697975
2010-10-14,ADI,0.1,1,0.0007983352611312001,0.1,0.002052175126697975
2010-10-14,AES,0.1,1,0.0003300004486927133,0.1,0.002052175126697975
2010-10-14,AN,0.1,1,0.001583221731270168,0.1,0.002052175126697975
2010-10-14,ADSK,0.1,1,-8.995136632511391e-05,0.1,0.002052175126697975
2010-10-15,AN,0.1,1,0.0006318433865899254,0.1,0.007021661929730749
2010-10-15,ADP,0.1,1,5.3618238502806115e-05,0.1,0.007021661929730749
2010-10-15,ADSK,0.1,1,-0.0004801916232819226,0.1,0.007021661929730749
2010-10-15,AMD,0.1,1,-0.002247188904267039,0.1,0.007021661929730749
2010-10-15,ABT,0.1,1,0.0009337989183981765,0.1,0.007021661929730749
