Split,Accuracy,Precision,Recall,F1 Score,AUC-ROC,AUC-PR,Frame-level AUC,mAP@0.5 (temporal),IoU (temporal),FPS,Inference Latency (ms/sequence),Benchmark Samples,Benchmark Seconds,Compute
TrainSample,0.9833333333333333,0.981651376146789,1.0,0.9907407407407407,0.9877785765636233,0.9984792986227593,0.9877785765636233,1.0,1.0,,,,,
Validation,0.8839779005524862,0.8839779005524862,1.0,0.9384164222873901,0.15029761904761907,0.779380129418223,0.15029761904761907,1.0,1.0,,,,,
Test,0.990625,0.9876543209876543,1.0,0.9937888198757764,0.9996354166666667,0.9998784649651249,0.9996354166666667,1.0,1.0,1.3456504569338144,743.1350354375013,80.0,59.450802835000104,CPU only; pipeline configured to stay practical under ~20 GB RAM
