epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc_roc,train_auc_pr,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc_roc,val_auc_pr
1,0.3019558121268456,0.8783783783783784,0.9083191850594228,0.9519572953736655,0.9296264118158123,0.8694993840678894,0.9679451581579036,0.736403765703511,0.8839779005524862,0.8839779005524862,1.0,0.9384164222873901,0.5139880952380953,0.9193169337812608
2,0.16962604323127964,0.9324324324324325,0.9599644128113879,0.9599644128113879,0.9599644128113879,0.9612133862578702,0.9916006611925102,0.6832468529312831,0.8839779005524862,0.8839779005524862,1.0,0.9384164222873901,0.1279761904761905,0.7594889486736709
3,0.131542056652804,0.954954954954955,0.9634146341463414,0.9839857651245552,0.9735915492957746,0.9737843895428415,0.9941165617317788,0.7635814256146145,0.8839779005524862,0.8839779005524862,1.0,0.9384164222873901,0.3438988095238096,0.8243593181158239
4,0.10170058024083697,0.96996996996997,0.9737762237762237,0.9911032028469751,0.982363315696649,0.982655522857925,0.9963052647810648,0.6914645048546726,0.8839779005524862,0.8839779005524862,1.0,0.9384164222873901,0.15029761904761907,0.779380129418223
