,0
cs_rank_return,0.020080758128677278
upper_shadow,0.018291833316383725
return_z20,0.012913333849515467
return_lag_1,0.012202866533310625
volatility_10,0.009638924918619821
atr_14,0.008813521963410106
doji,0.007013731553457775
volatility_20,0.00682275800267574
return_10d,0.006698756612953178
donchian_width,0.0057159555345405386
cs_rank_rel_volume,0.00542527582217102
price_diff,0.005263522371678509
stoch_k,0.004853221924077741
macd_signal,0.004624343500053542
return_5d,0.004532495730527292
ma_gap_5,0.004396195706113523
ichi_above,0.004384031679076962
return,0.004370683219439978
return_kurt_20,0.004242101380854484
adx_14,0.0040137451008089905
